Your, Name,"Ksenia Burova (kburova), CS 420",,,,,,,
10,5,,0.2,0.153846154,0.880936151,0.773228349,0,,
11,2,,0.152,0.076923077,0.614822757,0.391243564,0,,
12,6,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,26,,,,,,,,
Rule:,333233241313,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.767842554,1.88109476,0,,
1,3,,0.912,0.846153846,2.04732338,2.045841641,0,,
2,6,,0.76,0.769230769,2.218947999,2.133937566,0,,
3,2,,0.712,0.692307692,2.214605732,2.16197818,0,,
4,9,,0.632,0.615384615,2.017679963,2.038159682,0,,
5,1,,0.608,0.538461538,1.997460769,1.987773371,0,,
6,12,,0.6,0.461538462,1.98934299,1.88109476,0,,
7,7,,0.456,0.384615385,1.798198856,1.700439718,0,,
8,4,,0.336,0.307692308,1.345579331,1.352030102,0,,
9,5,,0.192,0.230769231,0.955005235,1.145110414,0,,
10,10,,0.144,0.153846154,0.688222573,0.773228349,0,,
11,11,,0.12,0.076923077,0.529360865,0.391243564,0,,
12,8,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,27,,,,,,,,
Rule:,114113241124,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.886395332,1.987773371,0,,
1,4,,0.872,0.846153846,2.225863439,2.133937566,0,,
2,8,,0.752,0.769230769,2.182484233,2.133937566,0,,
3,3,,0.672,0.692307692,1.958277842,2.038159682,0,,
4,6,,0.52,0.615384615,1.525932396,1.76049503,0,,
5,2,,0.472,0.538461538,1.494436666,1.738149333,0,,
6,12,,0.464,0.461538462,1.434452955,1.419556299,0,,
7,7,,0.32,0.384615385,1.027361152,1.238901257,0,,
8,5,,0.176,0.307692308,0.772383768,1.140115679,0,,
9,10,,0.128,0.230769231,0.641042723,0.991264261,0,,
10,11,,0.104,0.153846154,0.481548544,0.619382195,0,,
11,9,,0.024,0.076923077,0.163345543,0.391243564,0,,
12,1,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,28,,,,,,,,
Rule:,324413411344,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.809698098,2.075869297,0,,
1,2,,0.944,0.846153846,1.776564423,1.922023143,0,,
2,8,,0.824,0.769230769,1.938703906,1.922023143,0,,
3,10,,0.776,0.692307692,1.938703906,1.884313528,0,,
4,5,,0.632,0.615384615,1.793973864,1.76049503,0,,
5,11,,0.608,0.538461538,1.792483884,1.738149333,0,,
6,3,,0.528,0.461538462,1.75477266,1.669180337,0,,
7,4,,0.408,0.384615385,1.593488698,1.546593564,0,,
8,6,,0.256,0.307692308,1.1511718,1.352030102,0,,
9,12,,0.248,0.230769231,1.13247092,1.145110414,0,,
10,9,,0.168,0.153846154,0.752510139,0.773228349,0,,
11,1,,0.144,0.076923077,0.594619344,0.391243564,0,,
12,7,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,29,,,,,,,,
Rule:,224121441123,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.66395299,2.10390991,0,,
1,3,,0.912,0.846153846,1.894438036,2.16197818,0,,
2,1,,0.888,0.769230769,1.92304231,2.199687795,0,,
3,11,,0.864,0.692307692,1.940314015,2.16197818,0,,
4,2,,0.816,0.615384615,1.943717161,2.038159682,0,,
5,12,,0.808,0.538461538,1.895739761,1.738149333,0,,
6,10,,0.76,0.461538462,1.934221364,1.669180337,0,,
7,8,,0.64,0.384615385,1.86605884,1.488525295,0,,
8,6,,0.488,0.307692308,1.764074646,1.352030102,0,,
9,5,,0.344,0.230769231,1.265989731,0.991264261,0,,
10,4,,0.224,0.153846154,0.978028471,0.773228349,0,,
11,9,,0.144,0.076923077,0.594619344,0.391243564,0,,
12,7,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,30,,,,,,,,
Rule:,114134113224,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.823250593,2.133937566,0,,
1,6,,0.84,0.846153846,2.004965858,2.192005835,0,,
2,10,,0.792,0.769230769,1.908978392,2.133937566,0,,
3,7,,0.648,0.692307692,1.975702278,2.16197818,0,,
4,12,,0.64,0.615384615,1.959030828,2.038159682,0,,
5,9,,0.56,0.538461538,1.868677971,1.891995487,0,,
6,4,,0.44,0.461538462,1.748810447,1.823026491,0,,
7,3,,0.36,0.384615385,1.400929204,1.488525295,0,,
8,8,,0.24,0.307692308,1.105951122,1.352030102,0,,
9,2,,0.192,0.230769231,0.909402006,1.145110414,0,,
10,5,,0.048,0.153846154,0.325839574,0.773228349,0,,
11,1,,0.024,0.076923077,0.163345543,0.391243564,0,,
12,11,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,31,,,,,,,,
Rule:,242242244112,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.345143331,1.738149333,0,,
1,3,,0.912,0.846153846,1.630458438,1.884313528,0,,
2,7,,0.768,0.769230769,1.814161871,1.950063756,0,,
3,4,,0.648,0.692307692,1.782528096,1.950063756,0,,
4,6,,0.496,0.615384615,1.460034344,1.884313528,0,,
5,11,,0.472,0.538461538,1.385299731,1.738149333,0,,
6,5,,0.328,0.461538462,1.253428092,1.669180337,0,,
7,9,,0.248,0.384615385,1.110745941,1.546593564,0,,
8,1,,0.224,0.307692308,0.982264392,1.352030102,0,,
9,2,,0.176,0.230769231,0.863202779,1.145110414,0,,
10,12,,0.168,0.153846154,0.798113368,0.773228349,0,,
11,8,,0.048,0.076923077,0.277839574,0.391243564,0,,
12,10,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,32,,,,,,,,
Rule:,441444112314,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.589999667,1.891995487,0,,
1,8,,0.872,0.846153846,1.882029782,1.987773371,0,,
2,12,,0.864,0.769230769,1.897216385,2.075869297,0,,
3,11,,0.84,0.692307692,1.913396019,2.038159682,0,,
4,5,,0.696,0.615384615,2.037099295,2.038159682,0,,
5,4,,0.576,0.538461538,1.993618559,1.987773371,0,,
6,9,,0.496,0.461538462,1.675461998,1.669180337,0,,
7,3,,0.416,0.384615385,1.549531839,1.488525295,0,,
8,6,,0.264,0.307692308,1.211660685,1.352030102,0,,
9,2,,0.216,0.230769231,1.017265267,1.145110414,0,,
10,10,,0.168,0.153846154,0.752510139,0.773228349,0,,
11,1,,0.144,0.076923077,0.594619344,0.391243564,0,,
12,7,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,33,,,,,,,,
Rule:,423112114233,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.734434023,2.199687795,0,,
1,3,,0.912,0.846153846,1.792427792,2.257756064,0,,
2,8,,0.792,0.769230769,1.996256868,2.295465679,0,,
3,4,,0.672,0.692307692,2.042082411,2.257756064,0,,
4,10,,0.624,0.615384615,2.010703507,2.192005835,0,,
5,12,,0.616,0.538461538,1.980564215,2.045841641,0,,
6,7,,0.472,0.461538462,1.822218921,1.88109476,0,,
7,1,,0.448,0.384615385,1.760844999,1.700439718,0,,
8,11,,0.424,0.307692308,1.616912798,1.352030102,0,,
9,6,,0.272,0.230769231,1.237808139,1.145110414,0,,
10,9,,0.192,0.153846154,0.861402006,0.773228349,0,,
11,2,,0.144,0.076923077,0.594619344,0.391243564,0,,
12,5,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,34,,,,,,,,
Rule:,243241111442,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.769343638,2.10390991,0,,
1,8,,0.872,0.846153846,2.122099599,2.199687795,0,,
2,1,,0.848,0.769230769,2.122099599,2.199687795,0,,
3,11,,0.824,0.692307692,2.136990921,2.199687795,0,,
4,6,,0.672,0.615384615,2.176251734,2.133937566,0,,
5,5,,0.528,0.538461538,1.990418615,2.045841641,0,,
6,12,,0.52,0.461538462,1.974891777,1.88109476,0,,
7,2,,0.472,0.384615385,1.838837368,1.700439718,0,,
8,9,,0.392,0.307692308,1.707915837,1.505876256,0,,
9,10,,0.344,0.230769231,1.46017985,1.145110414,0,,
10,4,,0.224,0.153846154,0.978028471,0.773228349,0,,
11,7,,0.08,0.076923077,0.40217919,0.391243564,0,,
12,3,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,35,,,,,,,,
Rule:,443114433423,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.735703814,2.038159682,0,,
1,1,,0.968,0.846153846,1.842120478,2.16197818,0,,
2,6,,0.816,0.769230769,2.097097594,2.199687795,0,,
3,3,,0.736,0.692307692,2.108959885,2.199687795,0,,
4,4,,0.616,0.615384615,2.02730518,2.075869297,0,,
5,11,,0.592,0.538461538,1.895620341,1.775858948,0,,
6,10,,0.544,0.461538462,1.847512976,1.669180337,0,,
7,2,,0.496,0.384615385,1.774605341,1.488525295,0,,
8,8,,0.376,0.307692308,1.538324917,1.352030102,0,,
9,12,,0.368,0.230769231,1.515102204,1.145110414,0,,
10,7,,0.224,0.153846154,0.978028471,0.773228349,0,,
11,9,,0.144,0.076923077,0.594619344,0.391243564,0,,
12,5,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,36,,,,,,,,
Rule:,422311321233,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.755223384,2.10390991,0,,
1,5,,0.848,0.846153846,2.071012219,2.16197818,0,,
2,11,,0.824,0.769230769,2.09004554,2.199687795,0,,
3,3,,0.744,0.692307692,2.109848,2.199687795,0,,
4,7,,0.6,0.615384615,2.004095417,2.133937566,0,,
5,12,,0.592,0.538461538,1.990461482,1.987773371,0,,
6,6,,0.44,0.461538462,1.733709876,1.823026491,0,,
7,10,,0.392,0.384615385,1.65651481,1.700439718,0,,
8,1,,0.368,0.307692308,1.509304406,1.352030102,0,,
9,8,,0.248,0.230769231,1.178074149,1.145110414,0,,
10,4,,0.128,0.153846154,0.674095106,0.773228349,0,,
11,9,,0.048,0.076923077,0.277839574,0.391243564,0,,
12,2,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,37,,,,,,,,
Rule:,122231344134,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,2.033559143,2.23739741,0,,
1,11,,0.968,0.846153846,2.129666235,2.295465679,0,,
2,4,,0.848,0.769230769,2.264621938,2.295465679,0,,
3,12,,0.84,0.692307692,2.267718649,2.257756064,0,,
4,6,,0.688,0.615384615,2.158794554,2.192005835,0,,
5,2,,0.64,0.538461538,2.077018684,2.045841641,0,,
6,9,,0.56,0.461538462,1.970231891,1.88109476,0,,
7,8,,0.44,0.384615385,1.550458547,1.546593564,0,,
8,5,,0.296,0.307692308,1.323886377,1.352030102,0,,
9,3,,0.216,0.230769231,0.951147967,0.991264261,0,,
10,7,,0.072,0.153846154,0.373343321,0.619382195,0,,
11,10,,0.024,0.076923077,0.163345543,0.391243564,0,,
12,1,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,38,,,,,,,,
Rule:,414133114441,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.599987814,1.76049503,0,,
1,1,,0.968,0.846153846,1.688936224,1.884313528,0,,
2,6,,0.816,0.769230769,1.86212982,1.826245258,0,,
3,12,,0.808,0.692307692,1.871839293,1.854285872,0,,
4,3,,0.728,0.615384615,1.849728809,1.826245258,0,,
5,5,,0.584,0.538461538,1.462604979,1.52623491,0,,
6,7,,0.44,0.461538462,1.398762413,1.457265914,0,,
7,9,,0.36,0.384615385,1.202577303,1.334679141,0,,
8,8,,0.24,0.307692308,1.006550095,1.198183948,0,,
9,10,,0.192,0.230769231,0.81000098,0.991264261,0,,
10,11,,0.168,0.153846154,0.653109112,0.619382195,0,,
11,4,,0.048,0.076923077,0.277839574,0.391243564,0,,
12,2,,0,0,0,0,0,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,39,,,,,,,,
Rule:,232211124224,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,Class Value
0,-,,0.992,0.923076923,1.622094905,1.987773371,0,,
1,11,,0.968,0.846153846,1.728511569,2.133937566,0,,
2,7,,0.824,0.769230769,2.009451682,2.133937566,0,,
3,5,,0.68,0.692307692,1.987607871,2.038159682,0,,
4,1,,0.656,0.615384615,1.992285245,2.038159682,0,,
5,10,,0.608,0.538461538,1.987607871,1.987773371,0,,
6,6,,0.456,0.461538462,1.522679326,1.669180337,0,,
7,12,,0.448,0.384615385,1.501029347,1.488525295,0,,
8,2,,0.4,0.307692308,1.259721832,1.140115679,0,,
9,8,,0.28,0.230769231,1.09712457,0.991264261,0,,
10,4,,0.16,0.153846154,0.794309555,0.773228349,0,,
11,9,,0.08,0.076923077,0.40217919,0.391243564,0,,
12,3,,0,0,0,0,0,,
